timestamp,dimensions,forcing_type,mc_samples,noise_model,L2_error_last,loss_total_last
2025-06-08 09:07:16,2,exp_linear,10,ou_process,0.031001271679997444,0.01435492280870676
2025-06-08 09:12:04,4,exp_linear,10,time_dependant_gaussian_white_noise,0.05934121459722519,0.23908957839012146
2025-06-08 09:01:18,2,exp_linear,1,time_dependant_gaussian_white_noise,0.021157987415790558,0.022990012541413307
2025-06-07 12:08:25,8,square,10,ou_process,0.4528094232082367,3.276409149169922
2025-06-08 09:37:18,8,exp_linear,5,compound_poisson_process,0.4554172158241272,3.462470531463623
2025-06-08 09:12:01,4,exp_linear,2,time_dependant_gaussian_white_noise,0.06082930415868759,0.22677168250083923
2025-06-07 11:11:51,2,square,5,ou_process,0.027191709727048874,0.03322277590632439
2025-06-07 11:11:38,2,square,10,time_dependant_gaussian_white_noise,0.022445471957325935,0.08308976143598557
2025-06-08 09:21:47,6,exp_linear,10,time_dependant_gaussian_white_noise,0.11652352660894394,0.569138765335083
2025-06-07 11:38:34,6,linear,10,compound_poisson_process,0.21216395497322083,1.5877704620361328
2025-06-07 12:00:03,8,linear,5,compound_poisson_process,0.5409225225448608,3.6540937423706055
2025-06-08 09:27:15,6,exp_linear,2,compound_poisson_process,0.16929517686367035,0.8631013035774231
2025-06-07 11:11:38,2,square,2,ou_process,0.027971511706709862,0.025531142950057983
2025-06-07 11:30:57,6,linear,5,time_dependant_gaussian_white_noise,0.12063079327344894,0.6856293678283691
2025-06-07 11:54:32,8,linear,1,compound_poisson_process,0.4813746511936188,3.494845390319824
2025-06-07 11:18:29,4,linear,5,ou_process,0.0862651914358139,0.28929921984672546
2025-06-08 09:30:47,8,exp_linear,1,time_dependant_gaussian_white_noise,0.45740610361099243,2.8104567527770996
2025-06-07 11:27:40,4,square,5,compound_poisson_process,0.10311649739742279,3.913949728012085
2025-06-08 09:18:44,4,exp_linear,5,compound_poisson_process,0.08260780572891235,0.35027647018432617
2025-06-07 11:26:40,4,square,1,compound_poisson_process,0.11570686101913452,3.008478879928589
2025-06-07 12:07:53,8,square,10,time_dependant_gaussian_white_noise,0.4781982898712158,2.8473241329193115
2025-06-07 11:04:21,2,linear,10,ou_process,0.017195025458931923,0.03899356350302696
2025-06-07 11:45:58,6,square,2,compound_poisson_process,0.33599159121513367,3.4306530952453613
2025-06-07 11:06:22,2,linear,5,compound_poisson_process,0.03317266330122948,0.2666493356227875
2025-06-07 11:53:06,8,linear,10,time_dependant_gaussian_white_noise,0.4202871024608612,2.7072978019714355
2025-06-07 11:04:06,2,linear,2,time_dependant_gaussian_white_noise,0.03178584948182106,0.07660238444805145
2025-06-07 11:11:38,2,square,1,ou_process,0.030715206637978554,0.051506854593753815
2025-06-07 11:43:14,6,square,10,ou_process,0.13355515897274017,0.756161630153656
2025-06-08 09:30:44,8,exp_linear,2,time_dependant_gaussian_white_noise,0.43440213799476624,2.8467185497283936
2025-06-08 09:03:44,2,exp_linear,10,time_dependant_gaussian_white_noise,0.026478132233023643,0.02121039479970932
2025-06-07 11:52:54,8,linear,5,time_dependant_gaussian_white_noise,0.3917247951030731,2.908701181411743
2025-06-07 11:16:14,4,linear,2,time_dependant_gaussian_white_noise,0.06721894443035126,0.31404978036880493
2025-06-07 11:36:30,6,linear,2,compound_poisson_process,0.1993953138589859,1.2510188817977905
2025-06-07 11:31:30,6,linear,10,time_dependant_gaussian_white_noise,0.11431519687175751,0.7078186869621277
2025-06-07 11:35:24,6,linear,1,compound_poisson_process,0.2012588232755661,1.5156581401824951
2025-06-07 12:08:22,8,square,5,ou_process,0.4502638280391693,3.684112071990967
2025-06-08 09:30:12,6,exp_linear,10,compound_poisson_process,0.1434454619884491,0.8590327501296997
2025-06-07 11:53:23,8,linear,1,ou_process,0.44294020533561707,3.217947483062744
2025-06-07 11:25:23,4,square,5,time_dependant_gaussian_white_noise,0.0851706862449646,0.35438764095306396
2025-06-08 09:31:42,8,exp_linear,10,time_dependant_gaussian_white_noise,0.39510875940322876,3.4786343574523926
